"ReferenceTime","GEX","spot","future"
2024-01-17 13:29:01,-220233180.510922,4728,4756.25
2024-01-17 13:30:04,-218316948.871669,4728.81,4756.5
2024-01-17 13:31:02,-170980416.879243,4729.76,4756.5
2024-01-17 13:32:02,-175933819.121326,4729.9,4758
2024-01-17 13:33:01,-219586448.498057,4729.94,4759
2024-01-17 13:34:02,-249793637.752928,4728.87,4760.25
2024-01-17 13:35:03,-241906152.668681,4728.65,4760.25
2024-01-17 13:36:02,-202952947.978386,4729.46,4760.5
2024-01-17 13:37:02,-220115112.167799,4728.89,4760.5
2024-01-17 13:38:02,-291673571.770204,4729.13,4759.25
2024-01-17 13:39:02,-333500191.874786,4728.54,4759.5
2024-01-17 13:40:01,-305120874.286571,4729.2,4760.75
2024-01-17 13:41:02,-297286673.88925,4729.67,4761.75
2024-01-17 13:42:02,-304454419.506669,4730.3,4761.75
2024-01-17 13:43:03,-236283157.541093,4731.12,4762
2024-01-17 13:44:03,-206220669.359261,4732.2,4760.25
2024-01-17 13:45:03,-136537013.602154,4733.34,4760.5
2024-01-17 13:46:02,-177390673.037977,4732.75,4761.25
2024-01-17 13:47:02,-233606936.082855,4731.5,4760.75
2024-01-17 13:48:02,-244213121.171009,4732.17,4761.25
2024-01-17 13:49:02,-304038570.255944,4730.73,4760.25
2024-01-17 13:50:02,-325686719.070197,4730.49,4761.25
2024-01-17 13:51:02,-282080830.552111,4730.64,4761.75
2024-01-17 13:52:02,-287233827.038483,4730.74,4762.5
2024-01-17 13:53:02,-298794155.830621,4730.87,4762.75
2024-01-17 13:54:02,-323433369.080743,4730.71,4764.5
2024-01-17 13:55:02,-289312192.788163,4731.19,4765.5
2024-01-17 13:56:03,-293181483.925389,4731.56,4764.75
2024-01-17 13:57:02,-258199818.845633,4731.07,4763.5
2024-01-17 13:58:02,-216131197.562188,4731.41,4764
2024-01-17 13:59:02,-287378958.581538,4731.34,4762.25
2024-01-17 14:00:03,-356779024.180551,4730.97,4762.5
2024-01-17 14:01:03,-265242147.800177,4729.81,4762.5
2024-01-17 14:02:03,-443413611.638444,4728.28,4763
2024-01-17 14:03:03,-369351719.543673,4727.29,4762.5
2024-01-17 14:04:03,-406262262.619434,4727.23,4762.5
2024-01-17 14:05:02,-344411273.217297,4727.07,4763.25
2024-01-17 14:06:01,-360349638.062054,4727.38,4763.25
2024-01-17 14:07:03,-352733316.890459,4728.5,4763.5
2024-01-17 14:08:02,-360618901.968507,4727.92,4763.5
2024-01-17 14:09:03,-420425380.412428,4727.09,4763
2024-01-17 14:10:02,-400524056.754487,4727.38,4763
2024-01-17 14:11:03,-412951615.040052,4727.19,4761.5
2024-01-17 14:12:03,-375531171.992685,4725.41,4760.25
2024-01-17 14:13:04,-421259683.50064,4725.55,4758.75
2024-01-17 14:14:02,-462446436.5385,4725.22,4759.5
2024-01-17 14:15:03,-514926017.168295,4723.56,4759.5
2024-01-17 14:16:01,-416669559.117036,4725.49,4759.5
2024-01-17 14:17:03,-414968050.713869,4725.86,4760.75
2024-01-17 14:18:03,-383326329.308633,4725.48,4759.25
2024-01-17 14:19:03,-351375504.813035,4727.15,4759
2024-01-17 14:20:03,-540452924.210333,4727.49,4759.25
2024-01-17 14:21:02,-442958402.312676,4726.41,4759
2024-01-17 14:22:02,-408410384.209507,4725.26,4757.5
2024-01-17 14:23:02,-414698386.518126,4724.52,4757.5
2024-01-17 14:24:04,-411569506.999481,4724.94,4756.5
2024-01-17 14:25:03,-391293476.246702,4723.73,4755.5
2024-01-17 14:26:03,-381913626.993982,4723.88,4757
2024-01-17 14:27:02,-386636163.544921,4724.31,4757.75
2024-01-17 14:28:04,-364694734.961659,4724.62,4757.5
2024-01-17 14:29:02,-438084480.597752,4725.14,4759.5
2024-01-17 14:30:03,-412902962.083315,4724.82,4759.75
2024-01-17 14:31:03,-393037170.102054,4725.88,4758
2024-01-17 14:32:02,-376025128.602601,4727.13,4757.25
2024-01-17 14:33:02,-333935967.064003,4727.78,4756.25
2024-01-17 14:34:02,-373816828.561721,4727.42,4757.25
2024-01-17 14:35:01,-412419695.516159,4728.51,4755.5
2024-01-17 14:36:02,-414700383.88076,4729.83,4756
2024-01-17 14:37:03,-308037099.109963,4731.17,4756.25
2024-01-17 14:38:04,-256675406.962286,4732.3,4756.75
2024-01-17 14:39:04,-236101460.362954,4732.43,4756.5
2024-01-17 14:40:03,-190863824.791708,4732.63,4756.75
2024-01-17 14:41:02,-175870996.24172,4733.19,4757.75
2024-01-17 14:42:02,-135168141.066754,4733.26,4759.25
2024-01-17 14:43:02,-116400765.219293,4733,4759.75
2024-01-17 14:44:03,-208717469.429976,4732.07,4759.5
2024-01-17 14:45:01,-214386283.935534,4732.29,4760.5
2024-01-17 14:46:01,-102371194.175263,4733.53,4762.25
2024-01-17 14:47:01,-165550270.013229,4733.01,4763
2024-01-17 14:48:04,-187856906.902391,4733.27,4764
2024-01-17 14:49:02,-70302347.127008,4734.58,4764.5
2024-01-17 14:50:02,-42673186.0242834,4734.33,4764.25
2024-01-17 14:51:02,103262315.551837,4739.22,4765.25
2024-01-17 14:52:02,20959990.1457572,4738.2,4765.5
2024-01-17 14:53:03,65762498.1003904,4739.09,4764.5
2024-01-17 14:54:01,-61740086.7796168,4739.67,4764
2024-01-17 14:55:02,-10608487.8166652,4738.83,4764.5
2024-01-17 14:56:02,71008640.307445,4740.35,4766
2024-01-17 14:57:02,3304553.40669155,4741.26,4765
2024-01-17 14:58:02,-5680632.68281221,4741.16,4765.25
